id	X	Y	month	day	FFMC	DMC	DC	ISI	temp	RH	wind	rain	area
0	2	4	sep	sun	92.4	105.8	758.1	9.9	16.0	45	1.8	0.0	0.0
3	7	4	aug	sun	91.6	181.3	613.0	7.6	19.3	61	4.9	0.0	0.0
9	7	4	sep	fri	92.1	99.0	745.3	9.6	19.8	47	2.7	0.0	1.72
11	7	4	aug	fri	94.8	227.0	706.7	12.0	23.3	34	3.1	0.0	0.0
13	4	3	sep	mon	91.6	108.4	764.0	6.2	9.8	86	1.8	0.0	0.0
16	5	4	sep	fri	90.3	290.0	855.3	7.4	16.2	58	3.6	0.0	0.0
19	7	4	jul	sun	93.7	101.3	423.4	14.7	18.2	82	4.5	0.0	2.21
23	1	3	sep	sun	91.0	276.3	825.1	7.1	21.9	43	4.0	0.0	70.76
24	1	4	jul	tue	92.3	96.2	450.2	12.1	23.4	31	5.4	0.0	0.0
25	2	5	jul	sun	93.9	169.7	411.8	12.3	23.4	40	6.3	0.0	0.0
27	1	2	aug	fri	91.0	166.9	752.6	7.1	18.5	73	8.5	0.0	0.0
28	3	4	jul	sat	90.1	51.2	424.1	6.2	24.6	43	1.8	0.0	1.43
29	4	3	jul	thu	93.5	85.3	395.0	9.9	27.2	28	1.3	0.0	1.76
31	4	5	aug	sun	92.0	203.2	664.5	8.1	10.4	75	0.9	0.0	0.0
32	4	4	sep	sun	92.4	124.1	680.7	8.5	16.9	60	1.3	0.0	29.48
33	3	4	aug	sun	91.4	142.4	601.4	10.6	19.8	39	5.4	0.0	0.0
35	5	4	jul	wed	93.7	101.3	458.8	11.9	19.3	39	7.2	0.0	7.73
36	3	4	feb	wed	86.9	6.6	18.7	3.2	8.8	35	3.1	0.0	1.1
38	4	4	mar	mon	87.6	52.2	103.8	5.0	11.0	46	5.8	0.0	0.0
39	4	3	sep	sun	90.5	96.7	750.5	11.4	20.4	55	4.9	0.0	3.64
40	7	4	aug	sat	93.5	139.4	594.2	20.3	23.7	32	5.8	0.0	0.0
41	2	2	aug	thu	91.6	248.4	753.8	6.3	20.4	56	2.2	0.0	0.0
42	2	2	aug	thu	91.7	114.3	661.3	6.3	18.6	44	4.5	0.0	0.0
43	2	2	aug	tue	94.6	212.1	680.9	9.5	27.9	27	2.2	0.0	0.0
44	6	3	jul	tue	92.7	164.1	575.8	8.9	26.3	39	3.1	0.0	7.02
47	2	4	aug	sun	94.2	122.3	589.9	12.9	15.4	66	4.0	0.0	10.13
48	4	3	sep	fri	92.5	122.0	789.7	10.2	17.3	45	4.0	0.0	3.94
50	8	6	aug	sat	93.7	231.1	715.1	8.4	18.9	64	4.9	0.0	3.32
53	6	5	sep	fri	92.5	122.0	789.7	10.2	18.4	42	2.2	0.0	1.09
57	6	5	may	sat	85.1	28.0	113.8	3.5	11.3	94	4.9	0.0	0.0
58	4	4	mar	sat	91.7	35.8	80.8	7.8	17.0	27	4.9	0.0	28.66
61	1	3	aug	thu	94.8	222.4	698.6	13.9	26.2	34	5.8	0.0	0.0
62	7	6	jul	wed	91.2	183.1	437.7	12.5	12.6	90	7.6	0.2	0.0
67	9	5	jun	wed	93.3	49.5	297.7	14.0	28.0	34	4.5	0.0	0.0
69	3	4	sep	fri	94.3	85.1	692.3	15.9	19.8	50	5.4	0.0	0.0
70	4	4	mar	tue	88.1	25.7	67.6	3.8	14.1	43	2.7	0.0	0.0
72	6	5	sep	tue	91.9	111.7	770.3	6.5	19.6	45	3.1	0.0	20.03
73	4	4	aug	wed	95.1	141.3	605.8	17.7	28.7	33	4.0	0.0	0.0
77	7	5	sep	tue	91.0	129.5	692.6	7.0	20.7	37	2.2	0.0	17.2
79	6	5	mar	thu	84.9	18.2	55.0	3.0	5.3	70	4.5	0.0	2.14
80	6	3	nov	tue	79.5	3.0	106.7	1.1	11.8	31	4.5	0.0	0.0
82	7	5	apr	sun	81.9	3.0	7.9	3.5	13.4	75	1.8	0.0	0.0
83	8	6	sep	fri	91.1	91.3	738.1	7.2	20.7	46	2.7	0.0	30.18
84	8	6	jun	wed	91.2	147.8	377.2	12.7	19.6	43	4.9	0.0	0.0
86	2	2	jul	fri	88.3	150.3	309.9	6.8	13.4	79	3.6	0.0	37.02
87	5	4	sep	fri	92.1	99.0	745.3	9.6	12.8	64	3.6	0.0	1.64
88	7	4	sep	fri	88.2	55.2	732.3	11.6	15.2	64	3.1	0.0	0.52
91	4	3	aug	sun	90.2	99.6	631.2	6.3	21.5	34	2.2	0.0	0.0
94	3	4	aug	thu	93.0	75.3	466.6	7.7	19.6	36	3.1	0.0	0.0
95	2	5	aug	tue	92.1	152.6	658.2	14.3	20.2	47	4.0	0.0	3.09
98	2	5	aug	sat	93.7	231.1	715.1	8.4	23.6	53	4.0	0.0	6.43
99	6	3	apr	sun	91.0	14.6	25.6	12.3	13.7	33	9.4	0.0	61.13
104	8	6	aug	thu	94.8	222.4	698.6	13.9	23.9	38	6.7	0.0	0.0
105	3	4	sep	sun	89.7	90.0	704.4	4.8	22.8	39	3.6	0.0	0.0
109	6	5	sep	sat	92.2	102.3	751.5	8.4	21.2	32	2.2	0.0	0.0
110	4	5	sep	fri	94.3	85.1	692.3	15.9	17.7	37	3.6	0.0	0.0
111	8	6	aug	fri	90.1	108.0	529.8	12.5	21.2	51	8.9	0.0	0.61
115	3	4	aug	thu	91.6	248.4	753.8	6.3	16.8	56	3.1	0.0	0.0
117	6	5	jun	fri	92.5	56.4	433.3	7.1	23.2	39	5.4	0.0	1.19
119	4	4	sep	sun	89.7	90.0	704.4	4.8	17.8	64	1.3	0.0	0.0
121	6	5	aug	tue	94.3	131.7	607.1	22.7	19.4	55	4.0	0.0	0.17
123	7	4	oct	fri	90.0	41.5	682.6	8.7	11.3	60	5.4	0.0	0.0
125	8	6	aug	sun	91.4	142.4	601.4	10.6	18.2	43	4.9	0.0	0.0
127	8	6	aug	mon	91.1	103.2	638.8	5.8	23.4	22	2.7	0.0	0.0
128	2	4	aug	thu	91.6	248.4	753.8	6.3	16.6	59	2.7	0.0	0.0
129	4	5	sep	thu	92.9	137.0	706.4	9.2	22.1	34	1.8	0.0	14.57
130	8	6	sep	mon	91.5	130.1	807.1	7.5	15.9	51	4.5	0.0	2.18
131	8	6	jul	tue	92.3	88.8	440.9	8.5	17.1	67	3.6	0.0	6.57
133	2	5	aug	thu	87.5	77.0	694.8	5.0	22.3	46	4.0	0.0	0.0
138	5	4	mar	mon	90.1	39.7	86.6	6.2	13.2	40	5.4	0.0	0.95
139	2	4	sep	sat	92.5	121.1	674.4	8.6	24.1	29	4.5	0.0	0.0
143	3	5	sep	thu	90.7	136.9	822.8	6.8	12.9	39	2.7	0.0	2.18
147	2	2	aug	mon	91.1	103.2	638.8	5.8	23.1	31	3.1	0.0	0.0
148	7	4	sep	mon	91.6	108.4	764.0	6.2	19.3	44	2.2	0.0	0.0
149	6	5	aug	sun	92.0	203.2	664.5	8.1	19.1	70	2.2	0.0	0.0
151	6	5	sep	thu	92.8	119.0	783.5	7.5	21.6	27	2.2	0.0	0.0
152	2	5	aug	sun	90.2	99.6	631.2	6.3	19.2	44	2.7	0.0	4.69
156	4	3	may	fri	89.6	25.4	73.7	5.7	18.0	40	4.0	0.0	38.48
161	7	4	sep	mon	90.9	126.5	686.5	7.0	19.4	48	1.3	0.0	0.0
163	2	4	sep	sun	92.4	105.8	758.1	9.9	24.9	27	2.2	0.0	0.0
165	6	5	mar	sat	91.7	35.8	80.8	7.8	17.4	25	4.9	0.0	0.0
166	8	6	aug	wed	95.2	217.7	690.0	18.0	28.2	29	1.8	0.0	5.86
169	7	5	oct	mon	91.7	48.5	696.1	11.1	16.1	44	4.0	0.0	49.37
174	6	5	sep	sat	92.5	121.1	674.4	8.6	25.1	27	4.0	0.0	1090.84
177	5	4	aug	sun	91.8	175.1	700.7	13.8	25.7	39	5.4	0.0	0.09
178	3	4	aug	sun	91.8	175.1	700.7	13.8	26.8	38	6.3	0.0	0.76
180	3	4	oct	sun	92.6	46.5	691.8	8.8	20.6	24	5.4	0.0	0.0
